update,env_steps,policy_loss,value_loss,entropy,clip_fraction,recent_avg_return,recent_severe_miss_rate,recent_false_warning_rate,recent_avg_warning_step_on_severe,recent_avg_watch_step_on_potential,recent_safety_score,validation_avg_return,validation_severe_miss_rate,validation_false_warning_rate,validation_avg_warning_step_on_severe,validation_avg_watch_step_on_potential,validation_safety_score,device,artifact_prefix,curriculum_stage,normalize_observations
1,3141,0.01572347746696323,838.2791328430176,0.4069006275385618,0.15266834417707287,19.130001312792302,0.0,0.05454545454545454,4.6,,16.402728585519576,,,,,,,cuda,ppo_lstm_seed77,binary_easy,1
2,6282,-0.0021494499742402695,645.8881931304932,0.35271932277828455,0.059589901778963394,24.800001228749753,0.0,0.017241379310344827,4.571428571428571,,23.93793226323251,,,,,,,cuda,ppo_lstm_seed77,binary_easy,1
3,9423,0.010559346177615225,378.4123764038086,0.25968461157754064,0.07839362788217841,27.08500099092722,0.0,0.0,4.6875,,27.08500099092722,,,,,,,cuda,ppo_lstm_seed77,binary_easy,1
4,12564,0.007642919503268786,335.9651589393616,0.1940578743815422,0.05153116281144321,35.86000125527382,0.0,0.017543859649122806,4.5813953488372094,,34.982808272817685,,,,,,,cuda,ppo_lstm_seed77,binary_easy,1
5,15705,-0.003229037713026628,312.87428045272827,0.16500118421390653,0.006491762462246697,37.0350011792779,0.0,0.0,4.733333333333333,,37.0350011792779,,,,,,,cuda,ppo_lstm_seed77,binary_easy,1
6,18846,0.008211879758164287,267.54327058792114,0.1595512107014656,0.0015669771419197787,32.060000999569894,0.0,0.0,4.588235294117647,,32.060000999569894,,,,,,,cuda,ppo_lstm_seed77,binary_easy,1
7,21987,0.0008207391656469554,274.70136404037476,0.1504501011222601,0.0038502866882481612,40.48500140190124,0.0,0.0,4.583333333333333,,40.48500140190124,,,,,,,cuda,ppo_lstm_seed77,binary_easy,1
8,25128,0.0033790822053560987,271.96226596832275,0.1445002022664994,0.007118553279724438,42.53000125795603,0.0,0.0,4.363636363636363,,42.53000125795603,,,,,,,cuda,ppo_lstm_seed77,binary_easy,1
9,28269,-0.0023702515463810414,237.5045018196106,0.12850619247183204,0.009536175228276988,41.220001265108586,0.0,0.0,4.446808510638298,,41.220001265108586,,,,,,,cuda,ppo_lstm_seed77,binary_easy,1
10,31410,0.010415564782306319,240.93731880187988,0.1500987745821476,0.005954513155302266,36.50000125467777,0.0,0.0,4.465116279069767,,36.50000125467777,,,,,,,cuda,ppo_lstm_seed77,binary_easy,1
11,34551,0.0074623981795411964,242.82081604003906,0.1393762978259474,0.005551576170546468,33.49500109732151,0.0,0.0,4.675675675675675,,33.49500109732151,,,,,,,cuda,ppo_lstm_seed77,binary_easy,1
